,c_0,c_18,c_37,c_45
variant_0,10578861.0,1688739.0,1958501.0,1584951.0
variant_1,408.0,41.0,19.0,10.0
variant_2,52.0,7.0,3.0,1.0
variant_3,359.0,48.0,71.0,28.0
variant_4,807.0,98.0,47.0,43.0
variant_5,3370.0,480.0,387.0,343.0
variant_6,2873.0,184.0,165.0,118.0
variant_7,997.0,198.0,226.0,126.0
variant_8,4532.0,723.0,756.0,543.0
variant_9,2636.0,320.0,479.0,384.0
variant_10,193.0,2.0,0.0,1.0
variant_11,340.0,61.0,90.0,68.0
variant_12,18.0,2.0,4.0,6.0
variant_13,2994.0,500.0,492.0,293.0
variant_14,108.0,30.0,12.0,20.0
variant_15,731.0,77.0,27.0,0.0
variant_16,347.0,37.0,88.0,12.0
variant_17,227.0,12.0,14.0,0.0
variant_18,23.0,9.0,0.0,0.0
variant_19,103.0,30.0,0.0,7.0
variant_20,87.0,31.0,36.0,19.0
variant_21,349.0,56.0,42.0,8.0
variant_22,124.0,20.0,4.0,23.0
variant_23,746.0,75.0,160.0,114.0
variant_24,36.0,13.0,11.0,9.0
variant_25,1563.0,238.0,381.0,331.0
variant_26,693.0,100.0,47.0,34.0
variant_27,142.0,28.0,23.0,23.0
variant_28,312.0,31.0,24.0,37.0
variant_29,114.0,7.0,22.0,0.0
variant_30,95.0,11.0,0.0,0.0
variant_31,372.0,85.0,111.0,66.0
variant_32,26.0,1.0,6.0,0.0
variant_33,268.0,11.0,0.0,7.0
variant_34,81.0,5.0,0.0,0.0
variant_35,8453.0,1188.0,998.0,832.0
variant_36,1478.0,470.0,726.0,914.0
variant_37,298.0,71.0,9.0,31.0
variant_38,794.0,12.0,0.0,4.0
variant_39,59.0,4.0,7.0,14.0
variant_40,883.0,174.0,269.0,264.0
variant_41,1567.0,195.0,202.0,187.0
variant_42,1758.0,313.0,287.0,206.0
variant_43,1958.0,305.0,200.0,112.0
variant_44,50.0,0.0,13.0,0.0
variant_45,72.0,9.0,0.0,1.0
variant_46,245.0,26.0,26.0,5.0
variant_47,1275.0,339.0,287.0,177.0
variant_48,34.0,8.0,0.0,0.0
variant_49,196.0,8.0,1.0,1.0
variant_50,100.0,11.0,0.0,5.0
variant_51,761.0,93.0,161.0,115.0
variant_52,408.0,51.0,85.0,50.0
variant_53,209.0,44.0,35.0,16.0
variant_54,982.0,200.0,159.0,203.0
variant_55,1757.0,299.0,411.0,316.0
variant_56,193.0,34.0,9.0,4.0
variant_57,186.0,67.0,30.0,32.0
variant_58,666.0,64.0,14.0,31.0
variant_59,2612.0,517.0,484.0,415.0
variant_60,38.0,12.0,0.0,4.0
variant_61,3492.0,492.0,434.0,261.0
variant_62,1482.0,237.0,238.0,206.0
variant_63,90.0,11.0,3.0,0.0
variant_64,299.0,7.0,0.0,6.0
variant_65,911.0,182.0,106.0,55.0
variant_66,896.0,115.0,141.0,136.0
variant_67,863.0,74.0,34.0,12.0
variant_68,24.0,0.0,0.0,0.0
variant_69,1472.0,214.0,180.0,216.0
variant_70,4155.0,714.0,715.0,442.0
variant_71,410.0,47.0,36.0,29.0
variant_72,67.0,12.0,5.0,2.0
variant_73,829.0,66.0,81.0,75.0
variant_74,998.0,19.0,1.0,1.0
variant_75,435.0,98.0,166.0,124.0
variant_76,167.0,11.0,2.0,0.0
variant_77,1938.0,298.0,359.0,209.0
variant_78,2054.0,163.0,86.0,28.0
variant_79,89.0,41.0,8.0,1.0
variant_80,43.0,5.0,0.0,2.0
variant_81,179.0,18.0,20.0,11.0
variant_82,2669.0,350.0,345.0,148.0
variant_83,454.0,49.0,18.0,5.0
variant_84,250.0,35.0,30.0,25.0
variant_85,470.0,49.0,58.0,13.0
variant_86,135.0,6.0,0.0,2.0
variant_87,463.0,42.0,23.0,29.0
variant_88,66.0,0.0,0.0,0.0
variant_89,115.0,2.0,1.0,0.0
variant_90,273.0,3.0,0.0,0.0
variant_91,801.0,221.0,552.0,373.0
variant_92,652.0,80.0,89.0,84.0
variant_93,3647.0,527.0,570.0,469.0
variant_94,96.0,3.0,0.0,0.0
variant_95,494.0,92.0,142.0,105.0
variant_96,673.0,33.0,53.0,3.0
variant_97,743.0,218.0,263.0,275.0
variant_98,145.0,95.0,117.0,122.0
variant_99,2164.0,359.0,406.0,297.0
variant_100,176.0,8.0,4.0,0.0
variant_101,960.0,194.0,236.0,178.0
variant_102,402.0,122.0,197.0,124.0
variant_103,4133.0,707.0,791.0,736.0
variant_104,331.0,53.0,11.0,19.0
variant_105,123.0,6.0,4.0,0.0
variant_106,5845.0,826.0,899.0,584.0
variant_107,5662.0,757.0,733.0,474.0
variant_108,339.0,32.0,8.0,5.0
variant_109,934.0,46.0,29.0,4.0
variant_110,308.0,35.0,1.0,0.0
variant_111,203.0,15.0,0.0,0.0
variant_112,123.0,0.0,0.0,0.0
variant_113,246.0,26.0,17.0,17.0
variant_114,604.0,133.0,143.0,128.0
variant_115,72.0,15.0,0.0,3.0
variant_116,226.0,21.0,10.0,4.0
variant_117,284.0,35.0,15.0,0.0
variant_118,249.0,5.0,0.0,8.0
variant_119,404.0,24.0,48.0,17.0
variant_120,337.0,39.0,89.0,41.0
variant_121,4363.0,720.0,803.0,570.0
variant_122,3208.0,429.0,558.0,360.0
variant_123,125.0,7.0,10.0,1.0
variant_124,645.0,82.0,47.0,43.0
variant_125,4172.0,511.0,422.0,285.0
variant_126,1003.0,127.0,120.0,63.0
variant_127,480.0,78.0,53.0,44.0
variant_128,3771.0,165.0,36.0,94.0
variant_129,449.0,11.0,0.0,0.0
variant_130,236.0,22.0,0.0,0.0
variant_131,3296.0,73.0,11.0,12.0
variant_132,3370.0,115.0,79.0,31.0
variant_133,371.0,22.0,0.0,2.0
variant_134,1417.0,30.0,0.0,0.0
variant_135,5150.0,837.0,932.0,703.0
variant_136,1073.0,74.0,139.0,143.0
variant_137,1120.0,25.0,0.0,0.0
variant_138,293.0,10.0,3.0,3.0
variant_139,190.0,9.0,0.0,6.0
variant_140,2225.0,380.0,592.0,435.0
variant_141,3250.0,646.0,901.0,741.0
variant_142,96.0,23.0,65.0,68.0
variant_143,1164.0,35.0,0.0,1.0
variant_144,2661.0,380.0,238.0,80.0
variant_145,1625.0,113.0,33.0,64.0
variant_146,1795.0,79.0,14.0,7.0
variant_147,564.0,12.0,0.0,12.0
variant_148,246.0,19.0,12.0,5.0
